(AT-OBV)AC16930470;(VLID)9026855;(DE-599)OBVAC16930470
(AT-OBV)AC16930450;(VLID)9026594;(DE-599)OBVAC16930450
(AT-OBV)AC16930436;(VLID)9026569;(DE-599)OBVAC16930436
(AT-OBV)AC16930462;(VLID)9026931;(DE-599)OBVAC16930462
(AT-OBV)AC16930445;(VLID)9026077;(DE-599)OBVAC16930445
(AT-OBV)AC16930459;(VLID)9026853;(DE-599)OBVAC16930459
(AT-OBV)AC16930448;(VLID)9026844;(DE-599)OBVAC16930448
(AT-OBV)AC16930453;(VLID)9026833;(DE-599)OBVAC16930453
(AT-OBV)AC16930433;(VLID)9026299;(DE-599)OBVAC16930433
(AT-OBV)AC16930473;(VLID)9022873;(DE-599)OBVAC16930473
(AT-OBV)AC16930471;(VLID)9026197;(DE-599)OBVAC16930471
(AT-OBV)AC16930444;(VLID)9026580;(DE-599)OBVAC16930444
(AT-OBV)AC16930461;(VLID)9026864;(DE-599)OBVAC16930461
(AT-OBV)AC16930446;(VLID)9026577;(DE-599)OBVAC16930446
(AT-OBV)AC16930455;(VLID)9026913;(DE-599)OBVAC16930455
(AT-OBV)AC16930466;(VLID)9026858;(DE-599)OBVAC16930466
(AT-OBV)AC16930441;(VLID)9026585;(DE-599)OBVAC16930441
(AT-OBV)AC16930440;(VLID)9026838;(DE-599)OBVAC16930440
(AT-OBV)AC16930474;(VLID)9026879;(DE-599)OBVAC16930474
(AT-OBV)AC16930476;(VLID)9026947;(DE-599)OBVAC16930476
(AT-OBV)AC16930452;(VLID)9026867;(DE-599)OBVAC16930452
(AT-OBV)AC16930463;(VLID)9027028;(DE-599)OBVAC16930463
(AT-OBV)AC16930460;(VLID)9026870;(DE-599)OBVAC16930460
(AT-OBV)AC16930451;(VLID)9026871;(DE-599)OBVAC16930451
(AT-OBV)AC16930458;(VLID)9026591;(DE-599)OBVAC16930458
(AT-OBV)AC16930472;(VLID)9026835;(DE-599)OBVAC16930472
(AT-OBV)AC16930467;(VLID)9026840;(DE-599)OBVAC16930467
(AT-OBV)AC16930454;(VLID)9026926;(DE-599)OBVAC16930454
(AT-OBV)AC16930443;(VLID)9026564;(DE-599)OBVAC16930443
(AT-OBV)AC16930457;(VLID)9026586;(DE-599)OBVAC16930457
(AT-OBV)AC16930442;(VLID)9026582;(DE-599)OBVAC16930442
(AT-OBV)AC16930465;(VLID)9026848;(DE-599)OBVAC16930465
(AT-OBV)AC16930437;(VLID)9026575;(DE-599)OBVAC16930437
(AT-OBV)AC16930468;(VLID)9026933;(DE-599)OBVAC16930468
(AT-OBV)AC16930435;(VLID)9026519;(DE-599)OBVAC16930435
(AT-OBV)AC16930438;(VLID)9026850;(DE-599)OBVAC16930438
(AT-OBV)AC16930439;(VLID)9026555;(DE-599)OBVAC16930439
(AT-OBV)AC16930464;(VLID)9026927;(DE-599)OBVAC16930464
(AT-OBV)AC16930475;(VLID)9026932;(DE-599)OBVAC16930475
(AT-OBV)AC16930447;(VLID)9026587;(DE-599)OBVAC16930447
(AT-OBV)AC16930434;(VLID)9026545;(DE-599)OBVAC16930434
(AT-OBV)AC16930449;(VLID)9026930;(DE-599)OBVAC16930449
(AT-OBV)AC16930469;(VLID)9026929;(DE-599)OBVAC16930469
